"","PD","SR"
"Acau1",8.252683,12
"Acau2",3.485964,12
"Acon1",12.138364,13
"Acon2",6.879973,9
"Acon3",5.773246,10
"Acra1",26.509982,36
"Aful2",23.56384,18
"Ibir2",26.630778,16
"Vrig3",16.179991,7
"Wfilter1",45.817828,29
"Wfilter2",42.945696,29
"Wfilter3",35.489639,23
"Xmut1",16.885938,19
"Xmut2",10.80682,17
