"","PD","SR"
"Acau1",15.310799,26
"Acau2",15.922815,40
"Acon1",6.229358,12
"Acon2",6.046492,9
"Acon3",9.330807,13
"Acra1",34.672178,62
"Aful2",16.466189,17
"Ibir2",8.04471,3
"Vrig3",9.780486,8
"Wfilter1",9.001588,6
"Wfilter2",13.996895,6
"Wfilter3",7.694787,4
"Xmut1",11.045059,18
"Xmut2",13.546913,16
