"","PD","SR"
"Acau1",1.168937,2
"Acau2",0,0
"Acon1",1.62122,6
"Acon2",2.113126,5
"Acon3",1.054123,4
"Acra1",8.068044,10
"Aful2",2.659529,3
"Ibir2",NA,1
"Vrig3",NA,1
"Wfilter1",4.836183,11
"Wfilter2",5.388923,6
"Wfilter3",3.897299,4
"Xmut1",0.843428,2
"Xmut2",NA,1
