"","PD","SR"
"Acau1",18.852649,38
"Acau2",15.222249,38
"Acon1",18.467087,27
"Acon2",12.326106,28
"Acon3",11.156938,13
"Acra1",43.595237,78
"Aful2",43.409563,51
"Ibir2",25.243777,19
"Vrig3",22.776179,18
"Wfilter1",58.198895,58
"Wfilter2",52.556195,52
"Wfilter3",34.422563,29
"Xmut1",23.097117,36
"Xmut2",21.990449,43
