"","PD","SR"
"Acau1",33.141269,66
"Acau2",28.649078,75
"Acon1",7.429742,28
"Acon2",14.364463,35
"Acon3",13.29617,14
"Acra1",48.328497,101
"Aful2",22.254081,43
"Ibir2",12.478623,9
"Vrig3",22.21121,22
"Wfilter1",30.769208,22
"Wfilter2",19.635313,15
"Wfilter3",19.199969,11
"Xmut1",19.139691,33
"Xmut2",15.656673,28
