"","PD","SR"
"Acau1",4.938964,9
"Acau2",8.221377,16
"Acon1",9.448122,22
"Acon2",11.210996,12
"Acon3",5.330344,12
"Acra1",14.808623,31
"Aful2",5.522479,7
"Ibir2",11.604581,5
"Vrig3",5.990995,4
"Wfilter1",19.984266,23
"Wfilter2",8.52113,12
"Wfilter3",4.598355,6
"Xmut1",5.188724,12
"Xmut2",8.443817,16
