"","PD","SR"
"Acau1",4.365416,5
"Acau2",3.626856,5
"Acon1",9.419645,11
"Acon2",11.200848,13
"Acon3",2.369682,2
"Acra1",13.853291,14
"Aful2",16.072506,25
"Ibir2",12.53104,8
"Vrig3",4.9278,6
"Wfilter1",51.204439,79
"Wfilter2",30.049422,25
"Wfilter3",16.539603,17
"Xmut1",14.638477,14
"Xmut2",2.114014,6
