"","PD","SR"
"Acau1",NA,1
"Acau2",NA,1
"Acon1",0,0
"Acon2",NA,1
"Acon3",NA,1
"Acra1",NA,1
"Aful2",3.378661,4
"Ibir2",NA,1
"Vrig3",0,0
"Wfilter1",9.273851,9
"Wfilter2",NA,1
"Wfilter3",NA,1
"Xmut1",7.414396,4
"Xmut2",2.53752,2
