"","PD","SR"
"Acau1",NA,1
"Acau2",0,0
"Acon1",1.498748,4
"Acon2",1.85637,3
"Acon3",NA,1
"Acra1",5.080968,5
"Aful2",2.159967,2
"Ibir2",2.856879,2
"Vrig3",NA,1
"Wfilter1",2.249349,8
"Wfilter2",4.913745,5
"Wfilter3",4.844841,4
"Xmut1",NA,1
"Xmut2",0,0
