"","PD","SR"
"Acau1",14.155252,31
"Acau2",16.044489,44
"Acon1",6.658961,15
"Acon2",6.046391,9
"Acon3",8.314698,13
"Acra1",30.063429,62
"Aful2",13.53445,17
"Ibir2",8.569734,3
"Vrig3",9.135375,8
"Wfilter1",8.602418,6
"Wfilter2",16.525759,7
"Wfilter3",5.991127,4
"Xmut1",12.725847,18
"Xmut2",12.509407,16
