"","PD","SR"
"Acau1",28.274318,50
"Acau2",25.400158,53
"Acon1",10.476325,6
"Acon2",8.17302,10
"Acon3",10.873247,8
"Acra1",27.198042,37
"Aful2",30.157561,51
"Ibir2",5.975227,3
"Vrig3",11.263746,18
"Wfilter1",32.839841,55
"Wfilter2",9.21755,20
"Wfilter3",13.900394,32
"Xmut1",18.869241,40
"Xmut2",20.903306,42
