"","PD","SR"
"Acau1",20.135647,64
"Acau2",23.17829,79
"Acon1",8.01952,17
"Acon2",10.060738,27
"Acon3",9.070239,25
"Acra1",20.009547,54
"Aful2",18.382234,53
"Ibir2",2.960669,3
"Vrig3",14.411205,20
"Wfilter1",36.095245,60
"Wfilter2",22.856544,32
"Wfilter3",23.027533,38
"Xmut1",18.761834,49
"Xmut2",17.24379,53
