"","PD","SR"
"Acau1",24.333613,68
"Acau2",27.925027,77
"Acon1",7.054336,9
"Acon2",9.433899,8
"Acon3",4.42387,8
"Acra1",36.95424,84
"Aful2",30.224659,50
"Ibir2",7.409011,9
"Vrig3",10.313393,12
"Wfilter1",39.647203,39
"Wfilter2",23.132219,18
"Wfilter3",32.74614,27
"Xmut1",26.921798,34
"Xmut2",24.111914,38
