"","PD","SR"
"Acau1",17.470354,38
"Acau2",18.463802,38
"Acon1",16.38662,27
"Acon2",11.129958,28
"Acon3",8.852522,12
"Acra1",45.542233,78
"Aful2",40.694836,51
"Ibir2",21.310885,19
"Vrig3",0,0
"Wfilter1",56.493179,59
"Wfilter2",52.725762,52
"Wfilter3",35.040564,35
"Xmut1",23.725595,36
"Xmut2",22.684148,42
