"","PD","SR"
"Acau1",1.169323,4
"Acau2",1.436963,7
"Acon1",0.591561,2
"Acon2",1.002282,3
"Acon3",5.416642,6
"Acra1",4.895638,6
"Aful2",0.549065,3
"Ibir2",0,0
"Vrig3",0,0
"Wfilter1",0,0
"Wfilter2",0.299733,2
"Wfilter3",0,0
"Xmut1",4.406165,3
"Xmut2",0.983739,3
