"","PD","SR"
"Acau1",13.853596,3
"Acau2",NA,1
"Acon1",14.201094,4
"Acon2",14.263798,4
"Acon3",15.931964,4
"Acra1",17.745391,4
"Aful2",NA,1
"Ibir2",0,0
"Vrig3",0,0
"Wfilter1",0,0
"Wfilter2",0.118374,2
"Wfilter3",NA,1
"Xmut1",NA,1
"Xmut2",0.566665,3
