"","PD","SR"
"Acau1",14.406996,40
"Acau2",0,0
"Acon1",4.174951,3
"Acon2",5.819606,5
"Acon3",8.54418,8
"Acra1",19.920669,51
"Aful2",12.996626,32
"Ibir2",0,0
"Vrig3",0,0
"Wfilter1",6.754742,7
"Wfilter2",NA,1
"Wfilter3",4.971413,2
"Xmut1",11.612319,27
"Xmut2",10.646125,19
