"","PD","SR"
"Acau1",6.477682,12
"Acau2",3.710351,12
"Acon1",11.266029,13
"Acon2",6.627987,9
"Acon3",5.822437,10
"Acra1",31.958871,37
"Aful2",23.42159,18
"Ibir2",29.399968,16
"Vrig3",13.609415,7
"Wfilter1",41.195112,30
"Wfilter2",44.059712,31
"Wfilter3",40.399366,26
"Xmut1",18.091426,19
"Xmut2",9.862538,17
