"","PD","SR"
"Acau1",3.945321,5
"Acau2",6.137966,7
"Acon1",10.430393,12
"Acon2",8.220097,13
"Acon3",2.228791,2
"Acra1",12.155864,15
"Aful2",16.03685,25
"Ibir2",9.517826,8
"Vrig3",4.939957,6
"Wfilter1",52.905817,79
"Wfilter2",28.331793,26
"Wfilter3",17.539918,18
"Xmut1",14.112363,15
"Xmut2",2.097243,6
