"","PD","SR"
"Acau1",4.932135,9
"Acau2",8.360603,16
"Acon1",9.652067,22
"Acon2",9.870799,12
"Acon3",5.809368,12
"Acra1",14.714502,31
"Aful2",5.638683,7
"Ibir2",9.167995,5
"Vrig3",3.967453,4
"Wfilter1",18.229499,23
"Wfilter2",8.187825,12
"Wfilter3",4.502431,6
"Xmut1",5.49179,12
"Xmut2",8.003931,16
