"","PD","SR"
"Acau1",0.577806,6
"Acau2",2.207378,6
"Acon1",1.631216,2
"Acon2",0,0
"Acon3",0,0
"Acra1",8.366022,10
"Aful2",4.533933,3
"Ibir2",NA,1
"Vrig3",0,0
"Wfilter1",15.816929,28
"Wfilter2",NA,1
"Wfilter3",4.438154,3
"Xmut1",0.498109,3
"Xmut2",1.844816,8
