"","PD","SR"
"Acau1",0.560225,3
"Acau2",0.717461,2
"Acon1",0,0
"Acon2",0,0
"Acon3",0,0
"Acra1",0.586119,3
"Aful2",0,0
"Ibir2",0,0
"Vrig3",0,0
"Wfilter1",6.898246,7
"Wfilter2",4.474785,2
"Wfilter3",6.399436,3
"Xmut1",4.410716,3
"Xmut2",0.428295,2
