"","PD","SR"
"Acau1",9.501131,12
"Acau2",5.985559,12
"Acon1",10.184383,13
"Acon2",8.370754,9
"Acon3",7.104387,10
"Acra1",25.402897,36
"Aful2",22.726002,18
"Ibir2",24.328849,16
"Vrig3",13.08648,7
"Wfilter1",36.352487,29
"Wfilter2",35.284618,29
"Wfilter3",31.878831,23
"Xmut1",16.659914,19
"Xmut2",11.100976,17
