"","PD","SR"
"Acau1",19.118453,33
"Acau2",23.69449,38
"Acon1",7.831189,18
"Acon2",13.253737,18
"Acon3",10.523413,13
"Acra1",35.658946,60
"Aful2",17.133181,23
"Ibir2",14.77456,9
"Vrig3",16.664113,19
"Wfilter1",57.312536,78
"Wfilter2",46.458376,50
"Wfilter3",42.290058,37
"Xmut1",18.919009,30
"Xmut2",9.167299,14
