"","PD","SR"
"Acau1",16.937173,34
"Acau2",15.222249,38
"Acon1",20.569455,28
"Acon2",12.326106,28
"Acon3",11.156938,13
"Acra1",44.002126,79
"Aful2",43.409563,51
"Ibir2",25.243777,19
"Vrig3",22.776179,18
"Wfilter1",58.970512,59
"Wfilter2",53.201848,53
"Wfilter3",34.422563,29
"Xmut1",23.097117,36
"Xmut2",21.990449,43
