"","PD","SR"
"Acau1",5.742121,6
"Acau2",3.711698,4
"Acon1",0.307019,2
"Acon2",0.26054,2
"Acon3",NA,1
"Acra1",5.740441,9
"Aful2",12.874958,5
"Ibir2",0,0
"Vrig3",5.813005,4
"Wfilter1",9.548793,9
"Wfilter2",NA,1
"Wfilter3",3.369282,2
"Xmut1",4.703372,4
"Xmut2",0.656716,2
